LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,SUICIDE,TOT,100000PER,A,2015,13.2,
AUS,SUICIDE,TOT,100000PER,A,2016,12.2,
AUS,SUICIDE,TOT,100000PER,A,2017,13.6,
AUS,SUICIDE,TOT,100000PER,A,2018,13,
AUS,SUICIDE,TOT,100000PER,A,2019,13.5,
AUS,SUICIDE,TOT,100000PER,A,2020,12.4,
AUT,SUICIDE,TOT,100000PER,A,2015,13.4,
AUT,SUICIDE,TOT,100000PER,A,2016,12.7,
AUT,SUICIDE,TOT,100000PER,A,2017,12.8,
AUT,SUICIDE,TOT,100000PER,A,2018,12.5,
AUT,SUICIDE,TOT,100000PER,A,2019,11.4,
AUT,SUICIDE,TOT,100000PER,A,2020,10.8,
BEL,SUICIDE,TOT,100000PER,A,2015,16.2,
BEL,SUICIDE,TOT,100000PER,A,2016,16.3,
BEL,SUICIDE,TOT,100000PER,A,2017,14.8,
BEL,SUICIDE,TOT,100000PER,A,2018,15.2,
CAN,SUICIDE,TOT,100000PER,A,2015,12,
CAN,SUICIDE,TOT,100000PER,A,2016,10.7,
CAN,SUICIDE,TOT,100000PER,A,2017,11.1,
CAN,SUICIDE,TOT,100000PER,A,2018,10.1,
CAN,SUICIDE,TOT,100000PER,A,2019,10.5,
CZE,SUICIDE,TOT,100000PER,A,2015,12.6,
CZE,SUICIDE,TOT,100000PER,A,2016,12,
CZE,SUICIDE,TOT,100000PER,A,2017,12.8,
CZE,SUICIDE,TOT,100000PER,A,2018,12.3,
CZE,SUICIDE,TOT,100000PER,A,2019,10.7,
CZE,SUICIDE,TOT,100000PER,A,2020,10.9,
DNK,SUICIDE,TOT,100000PER,A,2015,9.7,
DNK,SUICIDE,TOT,100000PER,A,2016,9.9,
DNK,SUICIDE,TOT,100000PER,A,2017,9.8,
DNK,SUICIDE,TOT,100000PER,A,2018,9.7,
DNK,SUICIDE,TOT,100000PER,A,2019,9.9,
DNK,SUICIDE,TOT,100000PER,A,2020,9.6,
FIN,SUICIDE,TOT,100000PER,A,2016,14.1,
FIN,SUICIDE,TOT,100000PER,A,2017,14.8,
FIN,SUICIDE,TOT,100000PER,A,2018,14.4,
FIN,SUICIDE,TOT,100000PER,A,2019,13.4,
FIN,SUICIDE,TOT,100000PER,A,2020,12.9,
FRA,SUICIDE,TOT,100000PER,A,2015,13.6,
FRA,SUICIDE,TOT,100000PER,A,2016,12.7,
FRA,SUICIDE,TOT,100000PER,A,2017,12.3,
DEU,SUICIDE,TOT,100000PER,A,2015,10.9,
DEU,SUICIDE,TOT,100000PER,A,2016,10.6,
DEU,SUICIDE,TOT,100000PER,A,2017,9.9,
DEU,SUICIDE,TOT,100000PER,A,2018,10,
DEU,SUICIDE,TOT,100000PER,A,2019,9.6,
DEU,SUICIDE,TOT,100000PER,A,2020,9.7,
GRC,SUICIDE,TOT,100000PER,A,2015,4.6,
GRC,SUICIDE,TOT,100000PER,A,2016,4.1,
GRC,SUICIDE,TOT,100000PER,A,2017,4.5,
GRC,SUICIDE,TOT,100000PER,A,2018,4.9,
GRC,SUICIDE,TOT,100000PER,A,2019,4.6,
GRC,SUICIDE,TOT,100000PER,A,2020,3.9,
HUN,SUICIDE,TOT,100000PER,A,2015,18,
HUN,SUICIDE,TOT,100000PER,A,2016,16.9,
HUN,SUICIDE,TOT,100000PER,A,2017,15.7,
HUN,SUICIDE,TOT,100000PER,A,2018,15.9,
HUN,SUICIDE,TOT,100000PER,A,2019,14.8,
ISL,SUICIDE,TOT,100000PER,A,2015,12.4,
ISL,SUICIDE,TOT,100000PER,A,2016,12.2,
ISL,SUICIDE,TOT,100000PER,A,2017,9.8,
ISL,SUICIDE,TOT,100000PER,A,2018,9.8,
ISL,SUICIDE,TOT,100000PER,A,2019,11.2,
ISL,SUICIDE,TOT,100000PER,A,2020,12.7,
IRL,SUICIDE,TOT,100000PER,A,2015,9.5,
IRL,SUICIDE,TOT,100000PER,A,2018,9.4,
ITA,SUICIDE,TOT,100000PER,A,2015,5.9,
ITA,SUICIDE,TOT,100000PER,A,2016,5.7,
ITA,SUICIDE,TOT,100000PER,A,2017,5.8,
JPN,SUICIDE,TOT,100000PER,A,2015,17,
JPN,SUICIDE,TOT,100000PER,A,2016,15.6,
JPN,SUICIDE,TOT,100000PER,A,2017,15.2,
JPN,SUICIDE,TOT,100000PER,A,2018,15,
JPN,SUICIDE,TOT,100000PER,A,2019,14.6,
JPN,SUICIDE,TOT,100000PER,A,2020,15.4,
KOR,SUICIDE,TOT,100000PER,A,2015,26.8,
KOR,SUICIDE,TOT,100000PER,A,2016,25.5,
KOR,SUICIDE,TOT,100000PER,A,2017,23.8,
KOR,SUICIDE,TOT,100000PER,A,2018,25.5,
KOR,SUICIDE,TOT,100000PER,A,2019,25.4,
KOR,SUICIDE,TOT,100000PER,A,2020,24.1,
LUX,SUICIDE,TOT,100000PER,A,2015,11.5,
LUX,SUICIDE,TOT,100000PER,A,2016,7.5,
